step,cb,random
408,0.894608,0.933824,0.22549
409,0.894866,0.933985,0.224939
410,0.895122,0.934146,0.22439
411,0.895377,0.934307,0.223844
412,0.895631,0.934466,0.223301
413,0.895884,0.932203,0.22276
414,0.896135,0.932367,0.222222
415,0.896386,0.93253,0.221687
416,0.896635,0.932692,0.223558
417,0.896882,0.932854,0.223022
418,0.897129,0.933014,0.222488
419,0.897375,0.933174,0.221957
420,0.895238,0.933333,0.22381
421,0.895487,0.933492,0.223278
422,0.895735,0.933649,0.222749
423,0.895981,0.933806,0.222222
424,0.893868,0.933962,0.221698
425,0.894118,0.934118,0.223529
426,0.894366,0.934272,0.223005
427,0.894614,0.934426,0.222482
428,0.89486,0.934579,0.221963
429,0.895105,0.934732,0.221445
430,0.895349,0.934884,0.22093
431,0.895592,0.935035,0.220418
432,0.895833,0.935185,0.219907
433,0.893764,0.935335,0.2194
434,0.894009,0.935484,0.218894
435,0.894253,0.935632,0.218391
436,0.894495,0.93578,0.21789
437,0.894737,0.935927,0.217391
438,0.894977,0.936073,0.216895
439,0.895216,0.936219,0.216401
440,0.895455,0.936364,0.218182
441,0.895692,0.936508,0.217687
442,0.895928,0.936652,0.217195
443,0.896163,0.936795,0.218962
444,0.894144,0.934685,0.218468
445,0.894382,0.934831,0.217978
446,0.894619,0.934978,0.219731
447,0.894855,0.935123,0.219239
448,0.895089,0.935268,0.21875
449,0.895323,0.935412,0.218263
450,0.895556,0.935556,0.217778
451,0.895787,0.935698,0.217295
452,0.896018,0.935841,0.216814
453,0.896247,0.935982,0.218543
454,0.896476,0.936123,0.218062
455,0.896703,0.936264,0.21978
456,0.89693,0.936404,0.219298
457,0.897155,0.936543,0.221007
458,0.89738,0.936681,0.220524
459,0.897603,0.936819,0.220044
460,0.897826,0.936957,0.219565
461,0.898048,0.937093,0.219089
462,0.898268,0.937229,0.218615
463,0.898488,0.937365,0.218143
464,0.898707,0.9375,0.217672
465,0.898925,0.937634,0.219355
466,0.899142,0.937768,0.218884
467,0.899358,0.937901,0.218415
468,0.899573,0.938034,0.220085
469,0.899787,0.938166,0.221748
470,0.9,0.938298,0.221277
471,0.900212,0.938429,0.220807
472,0.900424,0.938559,0.220339
473,0.900634,0.938689,0.221987
474,0.900844,0.938819,0.223629
475,0.901053,0.938947,0.225263
476,0.901261,0.939076,0.226891
477,0.901468,0.939203,0.226415
478,0.901674,0.937238,0.228033
479,0.901879,0.93737,0.227557
480,0.902083,0.9375,0.227083
481,0.902287,0.93763,0.226611
482,0.90249,0.937759,0.226141
483,0.900621,0.937888,0.225673
484,0.900826,0.938017,0.225207
485,0.901031,0.938144,0.226804
486,0.901235,0.938272,0.228395
487,0.899384,0.938398,0.227926
488,0.89959,0.938525,0.227459
489,0.899796,0.93865,0.226994
490,0.9,0.938776,0.226531
491,0.900204,0.9389,0.226069
492,0.900407,0.939024,0.227642
493,0.900609,0.939148,0.229209
494,0.90081,0.939271,0.228745
495,0.90101,0.939394,0.228283
496,0.90121,0.939516,0.227823
497,0.901408,0.939638,0.227364
498,0.901606,0.939759,0.228916
499,0.901804,0.93988,0.228457
500,0.902,0.94,0.228
501,0.902196,0.94012,0.227545
502,0.90239,0.940239,0.227092
503,0.900596,0.940358,0.22664
504,0.900794,0.940476,0.22619
505,0.90099,0.940594,0.225743
506,0.901186,0.940711,0.225296
507,0.901381,0.940828,0.224852
508,0.901575,0.940945,0.226378
509,0.901768,0.941061,0.225933
510,0.901961,0.941176,0.22549
511,0.902153,0.941292,0.225049
512,0.902344,0.941406,0.224609
513,0.902534,0.94152,0.224172
514,0.902724,0.941634,0.225681
515,0.902913,0.941748,0.225243
516,0.903101,0.94186,0.224806
517,0.903288,0.941973,0.226306
518,0.903475,0.942085,0.225869
519,0.903661,0.942197,0.22736
520,0.903846,0.942308,0.226923
521,0.904031,0.942418,0.226488
522,0.904215,0.942529,0.226054
523,0.904398,0.942639,0.225621
524,0.90458,0.942748,0.225191
525,0.904762,0.942857,0.224762
526,0.904943,0.942966,0.224335
527,0.905123,0.943074,0.223909
528,0.905303,0.943182,0.225379
529,0.905482,0.943289,0.224953
530,0.90566,0.943396,0.224528
531,0.905838,0.943503,0.224105
532,0.906015,0.943609,0.225564
533,0.906191,0.943715,0.225141
534,0.906367,0.94382,0.224719
535,0.906542,0.943925,0.224299
536,0.906716,0.94403,0.223881
537,0.90689,0.944134,0.223464
538,0.907063,0.944238,0.223048
539,0.907236,0.944341,0.222635
540,0.907407,0.944444,0.222222
541,0.907579,0.944547,0.221811
542,0.907749,0.944649,0.221402
543,0.907919,0.944751,0.220994
544,0.908088,0.944853,0.220588
545,0.908257,0.944954,0.222018
546,0.908425,0.945055,0.221612
547,0.908592,0.945155,0.221207
548,0.908759,0.945255,0.220803
549,0.908925,0.945355,0.220401
550,0.909091,0.945455,0.221818
551,0.909256,0.945554,0.221416
552,0.90942,0.945652,0.222826
553,0.909584,0.94575,0.224231
554,0.909747,0.945848,0.225632
555,0.90991,0.945946,0.225225
556,0.910072,0.946043,0.22482
557,0.910233,0.94614,0.224417
558,0.910394,0.946237,0.224014
559,0.908766,0.946333,0.223614
560,0.908929,0.946429,0.223214
561,0.909091,0.946524,0.222816
562,0.909253,0.946619,0.22242
563,0.909414,0.946714,0.222025
564,0.909574,0.946809,0.223404
565,0.909735,0.946903,0.223009
566,0.909894,0.946996,0.222615
567,0.910053,0.94709,0.222222
568,0.910211,0.947183,0.221831
569,0.910369,0.947276,0.223199
570,0.910526,0.947368,0.222807
571,0.910683,0.947461,0.222417
572,0.910839,0.947552,0.223776
573,0.90925,0.947644,0.223386
574,0.909408,0.947735,0.222997
575,0.909565,0.947826,0.222609
576,0.909722,0.947917,0.222222
577,0.909879,0.948007,0.221837
578,0.910035,0.948097,0.221453
579,0.91019,0.948187,0.221071
580,0.910345,0.948276,0.22069
