step,cb,random
492,0.943089,0.24187
493,0.943205,0.243408
494,0.94332,0.244939
495,0.943434,0.244444
496,0.943548,0.245968
497,0.943662,0.245473
498,0.943775,0.246988
499,0.943888,0.246493
500,0.944,0.246
501,0.944112,0.247505
502,0.944223,0.249004
503,0.944334,0.248509
504,0.944444,0.25
505,0.944554,0.249505
506,0.942688,0.250988
507,0.942801,0.252465
508,0.942913,0.251969
509,0.943026,0.251473
510,0.943137,0.252941
511,0.943249,0.254403
512,0.943359,0.255859
513,0.94347,0.255361
514,0.94358,0.256809
515,0.943689,0.256311
516,0.943798,0.255814
517,0.943907,0.255319
518,0.944015,0.254826
519,0.944123,0.254335
520,0.944231,0.253846
521,0.944338,0.253359
522,0.944444,0.252874
523,0.944551,0.25239
524,0.944656,0.253817
525,0.942857,0.255238
526,0.942966,0.256654
527,0.943074,0.256167
528,0.943182,0.255682
529,0.943289,0.255198
530,0.943396,0.254717
531,0.943503,0.256121
532,0.943609,0.255639
533,0.943715,0.257036
534,0.94382,0.258427
535,0.943925,0.257944
536,0.94403,0.257463
537,0.944134,0.256983
538,0.944238,0.256506
539,0.944341,0.25603
540,0.944444,0.255556
541,0.944547,0.255083
542,0.944649,0.254613
543,0.944751,0.254144
544,0.944853,0.255515
545,0.944954,0.255046
546,0.945055,0.254579
547,0.945155,0.254113
548,0.945255,0.25365
549,0.943534,0.255009
550,0.943636,0.256364
551,0.943739,0.257713
552,0.943841,0.257246
553,0.943942,0.256781
554,0.944043,0.256318
555,0.944144,0.255856
556,0.944245,0.255396
557,0.944345,0.256732
558,0.944444,0.256272
559,0.944544,0.255814
560,0.944643,0.255357
561,0.944742,0.254902
562,0.94484,0.256228
563,0.944938,0.255773
564,0.945035,0.257092
565,0.945133,0.258407
566,0.94523,0.257951
567,0.945326,0.257496
568,0.945423,0.257042
569,0.945518,0.256591
570,0.945614,0.25614
571,0.945709,0.255692
572,0.945804,0.256993
573,0.945899,0.25829
574,0.945993,0.25784
575,0.946087,0.257391
576,0.946181,0.258681
577,0.946274,0.259965
578,0.946367,0.261246
579,0.946459,0.260794
580,0.946552,0.260345
581,0.946644,0.259897
582,0.946735,0.261168
583,0.946827,0.26072
584,0.946918,0.260274
585,0.947009,0.259829
586,0.945392,0.261092
587,0.945486,0.260647
588,0.945578,0.260204
589,0.945671,0.259762
590,0.945763,0.261017
591,0.945854,0.260575
592,0.945946,0.260135
593,0.946037,0.259696
594,0.946128,0.260943
595,0.946218,0.260504
596,0.946309,0.260067
597,0.946399,0.261307
598,0.946488,0.26087
599,0.946578,0.260434
600,0.946667,0.261667
601,0.946755,0.261231
602,0.946844,0.260797
603,0.946932,0.260365
604,0.94702,0.261589
605,0.947107,0.26281
606,0.947195,0.264026
607,0.947282,0.263591
608,0.947368,0.263158
609,0.947455,0.262726
610,0.947541,0.262295
611,0.947627,0.261866
612,0.947712,0.263072
613,0.947798,0.264274
614,0.947883,0.263844
615,0.947967,0.263415
616,0.948052,0.262987
617,0.948136,0.264182
618,0.94822,0.265372
619,0.948304,0.264943
620,0.948387,0.264516
621,0.94847,0.26409
622,0.948553,0.263666
623,0.948636,0.264848
624,0.948718,0.264423
625,0.9488,0.264
626,0.948882,0.263578
627,0.948963,0.263158
628,0.949045,0.262739
629,0.949126,0.262321
630,0.949206,0.261905
631,0.949287,0.26149
632,0.949367,0.261076
633,0.949447,0.260664
634,0.949527,0.260252
635,0.949606,0.261417
636,0.949686,0.261006
637,0.949765,0.260597
638,0.949843,0.260188
639,0.949922,0.259781
640,0.95,0.259375
641,0.950078,0.25897
642,0.950156,0.260125
643,0.950233,0.25972
644,0.950311,0.26087
645,0.950388,0.262016
646,0.950464,0.26161
647,0.950541,0.261206
648,0.950617,0.260802
649,0.950693,0.260401
650,0.950769,0.26
651,0.950845,0.259601
652,0.95092,0.259202
653,0.949464,0.260337
654,0.949541,0.259939
655,0.949618,0.259542
656,0.949695,0.259146
657,0.949772,0.260274
658,0.949848,0.261398
659,0.949924,0.262519
660,0.95,0.262121
661,0.950076,0.261725
662,0.950151,0.261329
663,0.950226,0.260935
664,0.950301,0.262048
665,0.950376,0.261654
666,0.95045,0.261261
667,0.950525,0.26087
668,0.950599,0.260479
669,0.950673,0.261584
670,0.950746,0.261194
671,0.95082,0.260805
672,0.950893,0.261905
673,0.950966,0.261516
674,0.951039,0.262611
675,0.951111,0.262222
676,0.951183,0.261834
677,0.951256,0.261448
678,0.951327,0.261062
679,0.951399,0.260677
680,0.951471,0.261765
681,0.951542,0.26138
682,0.951613,0.262463
683,0.951684,0.262079
684,0.951754,0.261696
685,0.951825,0.262774
686,0.951895,0.262391
687,0.951965,0.262009
688,0.952035,0.261628
689,0.952104,0.261248
690,0.952174,0.26087
691,0.952243,0.260492
692,0.952312,0.261561
693,0.952381,0.261183
694,0.95245,0.262248
695,0.952518,0.261871
696,0.952586,0.261494
697,0.952654,0.261119
698,0.952722,0.260745
699,0.95279,0.260372
700,0.952857,0.26
701,0.952924,0.259629
702,0.952991,0.260684
703,0.953058,0.260313
704,0.953125,0.259943
705,0.953191,0.260993
706,0.953258,0.260623
707,0.953324,0.260255
708,0.95339,0.261299
709,0.953456,0.260931
710,0.953521,0.260563
711,0.953586,0.260197
712,0.953652,0.261236
713,0.952314,0.26087
